freq_hz,omega_rad_s,amp_m,amp_h1_m
8.154875003787841479e+02,5.123859080568583522e+03,2.915504820812154793e-08,2.954230033487062148e-08
8.104875003787880132e+02,5.092443154032710481e+03,3.554272127686490461e-08,3.585515373977757063e-08
8.054875003787915375e+02,5.061027227496834712e+03,4.238282829410766785e-08,4.262903595842611647e-08
8.004875003787950618e+02,5.029611300960958943e+03,4.987225517851663730e-08,5.005905787805411952e-08
7.954875003787984724e+02,4.998195374425082264e+03,5.826189709385052208e-08,5.839400856238822269e-08
7.904875003788019967e+02,4.966779447889206494e+03,6.788346734489385613e-08,6.796579910667264274e-08
7.854875003788059757e+02,4.935363521353333454e+03,7.919389339672325640e-08,7.923726554414559068e-08
7.804875003788106369e+02,4.903947594817464960e+03,9.284835199622370712e-08,9.288373865819946093e-08
7.754875003788170034e+02,4.872531668281606471e+03,1.100112508684863183e-07,1.099420667629332634e-07
7.704875003788262120e+02,4.841115741745767082e+03,1.324345644858200493e-07,1.321044627678163726e-07
7.654875003788413323e+02,4.809699815209964072e+03,1.627816694447372150e-07,1.623575936220697940e-07
7.604875003788694130e+02,4.778283888674242007e+03,2.078887946919111814e-07,2.065618786785192111e-07
7.554875003789297807e+02,4.746867962138723669e+03,2.809518444565236039e-07,2.780485957014819990e-07
7.504875003790881465e+02,4.715452035603821059e+03,4.219979024612239516e-07,4.134141134523610540e-07
7.454875003796076953e+02,4.684036109071187639e+03,7.457799340005856940e-07,7.165612311411383711e-07
7.404875003813988315e+02,4.652620182546543219e+03,1.373786438866812878e-06,1.263686833569987801e-06
7.354875003849198265e+02,4.621204256032768171e+03,1.631921651507362013e-06,1.593986806284658871e-06
7.342375003862370022e+02,4.613350274407070174e+03,1.587576764440537435e-06,1.562963880828156348e-06
7.329875003875145012e+02,4.605496292781122065e+03,1.499519844185893014e-06,1.487318153629503693e-06
7.317375003887096909e+02,4.597642311154657364e+03,1.375381093377726844e-06,1.372402817415212515e-06
7.267375003902247954e+02,4.566226384628279447e+03,8.158343605662079687e-07,8.200398021505056310e-07
7.254875003905324320e+02,4.558372402996237724e+03,7.284978063217580388e-07,7.315435960098389952e-07
7.204875003909029374e+02,4.526956476462667524e+03,5.551572219799048157e-07,5.558967783990805327e-07
7.154875003910345868e+02,4.495540549927596658e+03,5.241494092523189044e-07,5.246086148634573781e-07
7.104875003910879059e+02,4.464124623392033754e+03,6.479978240094570436e-07,6.483082938976146992e-07
7.054875003911113254e+02,4.432708696856283495e+03,1.000579929886618540e-06,1.001956966162533406e-06
7.004875003911145086e+02,4.401292770320404998e+03,2.167971376291710966e-07,2.167875142392670936e-07
6.954875003911228077e+02,4.369876843784559242e+03,5.169639668679224260e-08,5.173474607043639931e-08
6.904875003911281510e+02,4.338460917248695296e+03,1.416450072544979256e-08,1.416966710934719577e-08
6.854875003911316753e+02,4.307044990712819526e+03,2.730159208083935627e-08,2.728973897650841905e-08
6.804875003911344038e+02,4.275629064176938300e+03,3.615882044476443598e-08,3.618173573238631412e-08
6.754875003911363365e+02,4.244213137641052526e+03,4.057134970418686443e-08,4.058635276292060687e-08
6.704875003911379281e+02,4.212797211105164934e+03,4.254179962494412803e-08,4.256244789033044697e-08
6.654875003911391786e+02,4.181381284569274612e+03,4.309396939671836486e-08,4.320152266607465332e-08
6.604875003911402018e+02,4.149965358033383382e+03,4.306961882680803571e-08,4.308453732820333650e-08
6.554875003911412250e+02,4.118549431497492151e+03,4.252923116315460027e-08,4.253488686437843511e-08
6.504875003911420208e+02,4.087133504961599101e+03,4.173627472580425376e-08,4.173972064708603427e-08
